	ID	strand	Same Strand: Host_gene_name	Same Strand: Host_gene_ensembl_id	Same Strand: Repeat_Type	Same Strand: RNA_type_Classification	Transcript	CLIP_LISI_Dist	ID_LINESINE	repClass_LINESINE	repName_LINESINE
168	chr14:34691564-34691599	+	Wapl	ENSMUSG00000041408	SINE	Repeat Element	ENSMUST00000048263	0	chr14:34677689-34677778	SINE	B4
169	chr14:34724312-34724349	+	Wapl	ENSMUSG00000041408	NA	protein_coding: Intron	ENSMUST00000048263	-887	chr14:34723320-34723425	SINE	PB1D10
170	chr14:38612035-38612074	-	Nrg3	ENSMUSG00000041014	LTR	Repeat Element	ENSMUST00000166968	-1813	chr14:38613848-38614364	LINE	Lx7
171	chr14:38971585-38971630	-	Nrg3	ENSMUSG00000041014	LINE,LTR	Repeat Element	ENSMUST00000166968	0	chr14:38371091-38371311	SINE	MIRc
172	chr14:46785882-46785920	-	Cnih1	ENSMUSG00000015759	NA	protein_coding: Intron	ENSMUST00000015903	240	chr14:46785598-46785642	LINE	Lx2A
173	chr14:60705870-60705898	+	Spata13	ENSMUSG00000021990	SINE	Repeat Element	ENSMUST00000022566	0	chr14:60638707-60638758	SINE	B4
174	chr14:63527691-63527750	-	Mtmr9	ENSMUSG00000035078	SINE	Repeat Element	ENSMUST00000058679	-42	chr14:63527733-63527747	SINE	B2_Mm2
175	chr14:63623653-63623700	+	Xkr6	ENSMUSG00000035067	NA	protein_coding: Intron	ENSMUST00000119973	3354	chr14:63627007-63627099	SINE	PB1D11
176	chr14:64401267-64401324	-	Msra	ENSMUSG00000054733	NA	protein_coding: Intron	ENSMUST00000067927	-1455	chr14:64402722-64402835	SINE	B4A
177	chr14:65968928-65968970	+	Clu	ENSMUSG00000022037	NA	protein_coding: Intron	ENSMUST00000022616	8855	chr14:65977783-65977888	SINE	PB1D10
178	chr14:66280644-66280694	-	Ptk2b	ENSMUSG00000059456	NA	protein_coding: Intron	ENSMUST00000022622	6255	chr14:66274252-66274389	SINE	MIRc
179	chr14:67053725-67053762	-	Ppp2r2a	ENSMUSG00000022052	NA	protein_coding: Intron	ENSMUST00000089230	1749	chr14:67051878-67051976	SINE	B3
180	chr14:67704092-67704121	-	Cdca2	ENSMUSG00000048922	NA	protein_coding: Intron	ENSMUST00000150006	3230	chr14:67700714-67700862	SINE	B1_Mus1
181	chr14:67732938-67732981	+	Kctd9	ENSMUSG00000034327	SINE	Repeat Element	ENSMUST00000078053	0	chr14:67718943-67719230	SINE	B4A
182	chr14:76491610-76491646	+	Tsc22d1	ENSMUSG00000022010	NA	protein_coding: Intron	ENSMUST00000110888	-180	chr14:76491281-76491430	SINE	RSINE1
183	chr14:77847009-77847060	-	Dnajc15	ENSMUSG00000022013	NA	protein_coding: Intron	ENSMUST00000226459	1024	chr14:77845846-77845985	LINE	L2
184	chr14:79470353-79470401	-	Wbp4	ENSMUSG00000022023	NA	protein_coding: Intron	ENSMUST00000022601	830	chr14:79469388-79469523	SINE	B1_Mm
185	chr14:86959866-86959900	-	Diaph3	ENSMUSG00000022021	NA	protein_coding: Intron	ENSMUST00000168889	399	chr14:86959284-86959467	SINE	B2_Mm2
186	chr15:100632987-100633043	-	Smagp	ENSMUSG00000053559	NA	protein_coding: Intron	ENSMUST00000172334	500	chr15:100632361-100632487	LINE	L2
187	chr15:102238693-102238751	-	Rarg	ENSMUSG00000001288	NA	protein_coding: Intron	ENSMUST00000063339	283	chr15:102238352-102238410	SINE	MIR
188	chr15:102522136-102522168	+	Tarbp2	ENSMUSG00000023051	NA	protein_coding: Intron	NA	NA	NA	NA	NA
189	chr15:30489095-30489121	+	Ctnnd2	ENSMUSG00000022240	NA	protein_coding: Intron	ENSMUST00000081728	-3718	chr15:30485303-30485377	SINE	ID4_
190	chr15:35054478-35054520	-	Stk3	ENSMUSG00000022329	NA	protein_coding: Intron	ENSMUST00000018476	-854	chr15:35055332-35055511	SINE	B3
191	chr15:37285956-37286010	+	Grhl2	ENSMUSG00000022286	SINE	Repeat Element	ENSMUST00000022895	0	chr15:37235464-37235625	SINE	B2_Mm1t
192	chr15:53201151-53201207	-	Ext1	ENSMUSG00000061731	NA	protein_coding: Intron	ENSMUST00000077273	3084	chr15:53197930-53198067	SINE	RSINE1
193	chr15:55128595-55128639	+	Deptor	ENSMUSG00000022419	NA	protein_coding: Intron	ENSMUST00000096433	757	chr15:55129352-55129547	SINE	B2_Mm2
194	chr15:55226256-55226300	+	Deptor	ENSMUSG00000022419	SINE	Repeat Element	ENSMUST00000096433	0	chr15:55114282-55114397	SINE	MIR
195	chr15:59455476-59455528	+	Nsmce2	ENSMUSG00000059586	NA	protein_coding: Intron	ENSMUST00000079703	-2035	chr15:59453381-59453441	SINE	ID4_
196	chr15:64372224-64372259	-	Asap1	ENSMUSG00000022377	SINE,LTR	Repeat Element	ENSMUST00000177374	0	chr15:64094884-64095025	SINE	B1_Mus2
197	chr15:77150378-77150439	-	Rbfox2	ENSMUSG00000033565	NA	protein_coding: Intron	ENSMUST00000171751	3420	chr15:77146591-77146958	LINE	Lx9
198	chr15:77247867-77247922	-	Rbfox2	ENSMUSG00000033565	SINE	Repeat Element	ENSMUST00000171751	0	chr15:77201343-77201629	SINE	B4A
199	chr15:77253349-77253384	-	Rbfox2	ENSMUSG00000033565	NA	protein_coding: Intron	ENSMUST00000171751	726	chr15:77252516-77252623	SINE	PB1D11
200	chr15:77299934-77299982	-	Rbfox2	ENSMUSG00000033565	NA	protein_coding: Intron	ENSMUST00000171751	312	chr15:77299454-77299622	SINE	B2_Mm2
201	chr15:79576884-79576918	-	Dmc1	ENSMUSG00000022429	NA	protein_coding: Intron	ENSMUST00000023065	-2730	chr15:79579614-79579763	SINE	B1_Mus1
202	chr15:80251044-80251086	+	Mief1	ENSMUSG00000022412	NA	protein_coding: Intron	ENSMUST00000023048	-1819	chr15:80249091-80249225	SINE	RSINE1
203	chr15:8295044-8295073	-	Nipbl	ENSMUSG00000022141	SINE	Repeat Element	ENSMUST00000052965	0	chr15:8388374-8389047	LINE	L1Md_F2
204	chr15:83452586-83452637	-	Pacsin2	ENSMUSG00000016664	NA	protein_coding: Intron	ENSMUST00000171436	3097	chr15:83449339-83449489	SINE	B1_Mm
205	chr15:84935546-84935604	+	Nup50	ENSMUSG00000016619	NA	protein_coding: Intron	ENSMUST00000165443	-772	chr15:84934681-84934774	SINE	PB1D10
206	chr15:85094418-85094455	-	Smc1b	ENSMUSG00000022432	SINE	Repeat Element	ENSMUST00000023068	-33	chr15:85094451-85094595	SINE	B1_Mus1
207	chr15:85428201-85428247	+	Atxn10	ENSMUSG00000016541	NA	protein_coding: Intron	ENSMUST00000163242	-1319	chr15:85426770-85426882	SINE	MIRc
208	chr15:99835796-99835845	-	Lima1	ENSMUSG00000023022	NA	protein_coding: Intron	ENSMUST00000073691	-99	chr15:99835895-99836030	SINE	B1_Mur3
209	chr16:13594935-13594986	-	Parn	ENSMUSG00000022685	NA	protein_coding: Intron	ENSMUST00000058884	176	chr16:13594639-13594759	SINE	B1F1
210	chr16:13651666-13651724	-	Parn	ENSMUSG00000022685	LTR	Repeat Element	ENSMUST00000058884	1107	chr16:13650480-13650559	SINE	MIRc
211	chr16:16923408-16923464	+	Ppm1f	ENSMUSG00000026181	NA	protein_coding: Intron	ENSMUST00000027373	-325	chr16:16922870-16923083	SINE	ID_B1
212	chr16:17626516-17626585	+	Smpd4	ENSMUSG00000005899	NA	protein_coding: Intron	ENSMUST00000165363	-1001	chr16:17625308-17625515	SINE	B3A
213	chr16:29585737-29585772	+	Opa1	ENSMUSG00000038084	SINE	Repeat Element	ENSMUST00000160597	0	chr16:29582270-29582397	SINE	B1F1
214	chr16:30372523-30372580	-	Atp13a3	ENSMUSG00000022533	NA	protein_coding: Intron	ENSMUST00000061350	-95	chr16:30372618-30372758	SINE	B1_Mus1
215	chr16:31041457-31041504	-	Xxylt1	ENSMUSG00000047434	LTR	Repeat Element	ENSMUST00000055389	4103	chr16:31037204-31037354	LINE	L1M2
216	chr16:31113305-31113344	-	Acap2	ENSMUSG00000049076	SINE	Repeat Element	ENSMUST00000058033	-38	chr16:31113343-31113491	SINE	B1_Mus1
217	chr16:32290046-32290095	+	Rnf168	ENSMUSG00000014074	SINE	Repeat Element	ENSMUST00000014218	0	chr16:32279720-32279789	LINE	L1M3
218	chr16:34108175-34108219	-	Kalrn	ENSMUSG00000061751	NA	protein_coding: Intron	ENSMUST00000076810	-195	chr16:34108370-34108493	SINE	B3
219	chr16:38543774-38543811	-	Poglut1	ENSMUSG00000034064	LTR	Repeat Element	ENSMUST00000036210	-310	chr16:38544084-38544230	SINE	B1F2
220	chr16:38574833-38574870	+	Tmem39a	ENSMUSG00000002845	NA	protein_coding: Intron	ENSMUST00000163884	148	chr16:38574981-38575087	LINE	L2a
221	chr16:38586990-38587041	+	Tmem39a	ENSMUSG00000002845	NA	protein_coding: Intron	ENSMUST00000163884	1372	chr16:38588362-38588431	SINE	MIRb
222	chr16:3900077-3900138	+	Gm20695,Naa60	ENSMUSG00000005982,ENSMUSG00000093575	NA	protein_coding: Intron	ENSMUST00000186375	-725	chr16:3899271-3899352	SINE	RSINE1
223	chr16:59511539-59511585	-	Crybg3	ENSMUSG00000022723	NA	protein_coding: Intron	ENSMUST00000044604	1200	chr16:59510162-59510339	SINE	B2_Mm2
224	chr16:59744100-59744144	-	Epha6	ENSMUSG00000055540	SINE	Repeat Element	ENSMUST00000068860	-31	chr16:59744131-59744345	SINE	B3
225	chr16:84831925-84831965	-	Atp5j	ENSMUSG00000022890	NA	protein_coding: Intron	ENSMUST00000023608	1701	chr16:84830078-84830224	SINE	B1_Mus2
226	chr16:88022938-88022990	-	Grik1	ENSMUSG00000022935	LINE	Repeat Element	ENSMUST00000072256	-45	chr16:88022983-88029830	LINE	L1Md_T
227	chr16:96025865-96025904	-	Brwd1	ENSMUSG00000022914	NA	protein_coding: Intron	ENSMUST00000099502	3397	chr16:96022276-96022468	SINE	B2_Mm1t
228	chr17:10306510-10306544	-	Qk	ENSMUSG00000062078	NA	protein_coding: Intron	ENSMUST00000233645	812	chr17:10305622-10305698	SINE	B4A
229	chr17:12970600-12970635	-	Wtap	ENSMUSG00000060475	NA	protein_coding: Intron	ENSMUST00000007007	362	chr17:12970151-12970238	SINE	PB1D10
230	chr17:17429885-17429917	+	Lix1	ENSMUSG00000047786	SINE	Repeat Element	ENSMUST00000115576	0	chr17:17413068-17413870	LINE	Lx2
231	chr17:19518342-19518382	+	Vmn2r100	ENSMUSG00000091859	LTR	Repeat Element	ENSMUST00000166081	1346	chr17:19519688-19519804	SINE	B1_Mur1
232	chr17:26228881-26228936	-	Fam234a	ENSMUSG00000024187	SINE	Repeat Element	ENSMUST00000118487	-39	chr17:26228920-26229029	SINE	B1_Mur2
233	chr17:29035836-29035870	+	Srsf3	ENSMUSG00000071172	NA	protein_coding: Intron	ENSMUST00000130216	-377	chr17:29035415-29035459	SINE	ID_B1
234	chr17:31524074-31524116	+	Ndufv3	ENSMUSG00000024038	NA	protein_coding: Intron	ENSMUST00000064798	187	chr17:31524261-31524404	SINE	B1_Mm
235	chr17:32040749-32040817	+	Rrp1b	ENSMUSG00000058392	NA	protein_coding: Intron	ENSMUST00000081339	255	chr17:32041004-32041140	SINE	B1_Mur1
236	chr17:32206986-32207025	-	Brd4	ENSMUSG00000024002	NA	protein_coding: Intron	ENSMUST00000121285	-9174	chr17:32216160-32216197	LINE	Lx5c
237	chr17:33672683-33672727	-	Hnrnpm	ENSMUSG00000059208	NA	protein_coding: Intron	ENSMUST00000087582	182	chr17:33672309-33672501	SINE	B2_Mm1a
238	chr17:35913964-35914031	-	Mrps18b	ENSMUSG00000024436	NA	protein_coding: Intron	ENSMUST00000025305	-85	chr17:35914049-35914187	SINE	B1_Mus2
239	chr17:42814163-42814208	-	Cd2ap	ENSMUSG00000061665	NA	protein_coding: Intron	ENSMUST00000024709	1114	chr17:42812856-42813049	SINE	B3A
240	chr17:45592176-45592225	-	Slc29a1	ENSMUSG00000023942	NA	protein_coding: Intron	ENSMUST00000064889	-1667	chr17:45593843-45593921	LINE	L2a
241	chr17:46624953-46624993	-	Ptk7	ENSMUSG00000023972	NA	protein_coding: Intron	ENSMUST00000044442	2705	chr17:46622167-46622248	SINE	ID4
242	chr17:46963748-46963806	-	Ubr2	ENSMUSG00000023977	NA	protein_coding: Intron	ENSMUST00000113335	1022	chr17:46962454-46962726	SINE	B4A
243	chr17:56315356-56315405	+	Uhrf1	ENSMUSG00000001228	NA	protein_coding: Intron	ENSMUST00000001258	-1874	chr17:56313305-56313482	SINE	B4A
244	chr17:67767617-67767658	+	Lama1	ENSMUSG00000032796	NA	protein_coding: Intron	ENSMUST00000035471	945	chr17:67768562-67768680	SINE	PB1
245	chr17:67994338-67994374	-	Arhgap28	ENSMUSG00000024043	NA	protein_coding: Intron	ENSMUST00000024840	-1083	chr17:67995421-67995540	SINE	B1_Mus2
246	chr17:71460469-71460511	-	Smchd1	ENSMUSG00000024054	NA	protein_coding: Intron	ENSMUST00000127430	-166	chr17:71460635-71460728	LINE	L2a
247	chr17:7172259-7172284	+	Rps6ka2	ENSMUSG00000023809	NA	protein_coding: Intron	ENSMUST00000024575	-94	chr17:7172029-7172165	SINE	RSINE1
248	chr17:72184853-72184897	-	Alk	ENSMUSG00000055471	LTR	Repeat Element	ENSMUST00000086639	389	chr17:72184306-72184464	SINE	ID_B1
249	chr17:74530169-74530214	+	Birc6	ENSMUSG00000024073	NA	protein_coding: Intron	ENSMUST00000182944	712	chr17:74530881-74531027	SINE	B1_Mm
250	chr17:75158447-75158507	+	Ltbp1	ENSMUSG00000001870	NA	protein_coding: Intron	ENSMUST00000001927	-8377	chr17:75149814-75150070	SINE	B4A
251	chr17:79851344-79851375	-	Atl2	ENSMUSG00000059811	NA	protein_coding: Intron	ENSMUST00000068282	-4496	chr17:79855840-79855871	LINE	L2
252	chr17:80624616-80624653	-	Map4k3	ENSMUSG00000024242	NA	protein_coding: Intron	ENSMUST00000025089	-3215	chr17:80627831-80627962	SINE	B1F
253	chr17:83463473-83463526	+	Eml4	ENSMUSG00000032624	NA	protein_coding: Intron	ENSMUST00000096766	321	chr17:83463794-83463931	SINE	B1F1
254	chr17:86085463-86085513	-	Srbd1	ENSMUSG00000024135	NA	protein_coding: Intron	ENSMUST00000095187	-423	chr17:86085886-86086011	SINE	ID_B1
255	chr17:86281409-86281440	+	Prkce	ENSMUSG00000045038	LTR	Repeat Element	ENSMUST00000097275	-1637	chr17:86279691-86279772	LINE	L3
256	chr17:90830098-90830160	-	Nrxn1	ENSMUSG00000024109	LINE	Repeat Element	ENSMUST00000160844	0	chr17:90043185-90043380	SINE	ID_B1
257	chr18:12890053-12890085	-	Osbpl1a	ENSMUSG00000044252	LTR	Repeat Element	ENSMUST00000074352	1566	chr18:12888296-12888487	SINE	B3A
258	chr18:20708959-20709000	-	B4galt6	ENSMUSG00000056124	NA	protein_coding: Intron	ENSMUST00000070080	132	chr18:20708739-20708827	SINE	B3A
259	chr18:33882260-33882415	-	Epb41l4a	ENSMUSG00000024376	NA	protein_coding: Intron	ENSMUST00000025234	1203	chr18:33880970-33881057	SINE	MIR
260	chr18:34282821-34282855	+	Apc	ENSMUSG00000005871	LINE	Repeat Element	ENSMUST00000079362	14	chr18:34282835-34282989	LINE	L1M4
261	chr18:34919868-34919914	-	Etf1	ENSMUSG00000024360	NA	protein_coding: Intron	ENSMUST00000025218	-605	chr18:34920473-34920559	SINE	PB1D9
262	chr18:35396160-35396221	-	Sil1	ENSMUSG00000024357	SINE	Repeat Element	ENSMUST00000025215	-55	chr18:35396215-35396232	SINE	B1_Mus2
263	chr18:35782969-35783008	+	Ube2d2a	ENSMUSG00000091896	SINE	Repeat Element	ENSMUST00000170693	0	chr18:35775685-35775843	SINE	B2_Mm2
264	chr18:57642661-57642696	+	Ccdc192	ENSMUSG00000058925	LINE	Repeat Element	ENSMUST00000079738	24	chr18:57642685-57644348	LINE	L1_Mus2
265	chr18:6495338-6495399	-	Epc1	ENSMUSG00000024240	SINE	Repeat Element	ENSMUST00000115870	0	chr18:6437690-6437848	SINE	RSINE1
266	chr18:65626120-65626172	+	Zfp532	ENSMUSG00000042439	NA	protein_coding: Intron	ENSMUST00000182852	2333	chr18:65628453-65628635	SINE	B3
267	chr18:67945506-67945550	+	Ldlrad4	ENSMUSG00000024544	NA	protein_coding: Intron	ENSMUST00000063775	8219	chr18:67953725-67954495	LINE	L1Md_F2
268	chr18:73575930-73575973	+	Mex3c	ENSMUSG00000037253	NA	protein_coding: Intron	ENSMUST00000091852	1101	chr18:73577031-73577301	SINE	B4A
269	chr18:73688302-73688339	-	Smad4	ENSMUSG00000024515	NA	protein_coding: Intron	ENSMUST00000025393	753	chr18:73681327-73687549	LINE	L1Md_T
270	chr18:7379005-7379036	-	Mpp7	ENSMUSG00000057440	NA	protein_coding: Intron	ENSMUST00000115869	1655	chr18:7377205-7377350	LINE	L1M5
271	chr18:82660693-82660735	-	Zfp236	ENSMUSG00000041258	SINE	Repeat Element	ENSMUST00000182122	-39	chr18:82660732-82660880	SINE	B1_Mm
272	chr18:84828169-84828212	-	Gm17266	ENSMUSG00000117781	SINE	Repeat Element	ENSMUST00000236689	-34	chr18:84828203-84828323	SINE	B1_Mus2
273	chr18:88985098-88985153	+	Rttn	ENSMUSG00000023066	NA	protein_coding: Intron	ENSMUST00000023828	3337	chr18:88988435-88988820	LINE	Lx
274	chr19:11263175-11263238	-	Ms4a1	ENSMUSG00000024673	SINE	Repeat Element	ENSMUST00000169159	-55	chr19:11263230-11263374	SINE	B1_Mus1
275	chr19:11939146-11939188	+	Patl1	ENSMUSG00000046139	NA	protein_coding: Intron	ENSMUST00000061618	-30	chr19:11939039-11939116	SINE	B1F
276	chr19:16154047-16154079	+	Gnaq	ENSMUSG00000024639	SINE	Repeat Element	ENSMUST00000025541	0	chr19:16136662-16136760	LINE	L2a
277	chr19:16264596-16264633	+	Gnaq	ENSMUSG00000024639	NA	protein_coding: Intron	ENSMUST00000025541	-298	chr19:16264150-16264298	SINE	B1_Mus1
278	chr19:24195800-24195858	-	Tjp2	ENSMUSG00000024812	NA	protein_coding: Intron	ENSMUST00000099558	74	chr19:24195666-24195726	SINE	ID_B1
279	chr19:24279271-24279338	-	Fxn	ENSMUSG00000059363	SINE	Repeat Element	ENSMUST00000081333	0	chr19:24261507-24261654	SINE	B1_Mus1
280	chr19:29630098-29630130	-	Ermp1	ENSMUSG00000046324	NA	protein_coding: Intron	ENSMUST00000159692	-397	chr19:29630495-29630643	SINE	RSINE1
281	chr19:36933400-36933438	+	Btaf1	ENSMUSG00000040565	SINE	Repeat Element	ENSMUST00000099494	0	chr19:36929038-36929175	SINE	B1_Mm
282	chr19:36946763-36946801	+	Btaf1	ENSMUSG00000040565	NA	protein_coding: Intron	ENSMUST00000099494	48	chr19:36946811-36947026	SINE	B3
283	chr19:42522550-42522600	+	R3hcc1l	ENSMUSG00000025184	NA	protein_coding: Intron	ENSMUST00000026188	1326	chr19:42523876-42523963	LINE	L2b
284	chr19:46859326-46859365	+	Cnnm2	ENSMUSG00000064105	NA	protein_coding: Intron	ENSMUST00000099373	-1167	chr19:46858025-46858159	LINE	L1ME4a
285	chr19:53149375-53149417	+	Add3	ENSMUSG00000025026	NA	protein_coding: Intron	ENSMUST00000025999	1948	chr19:53151323-53151447	SINE	B1F1
286	chr19:58049813-58049850	+	Atrnl1	ENSMUSG00000054843	NA	protein_coding: Intron	ENSMUST00000077282	871	chr19:58050684-58050952	LINE	L1Md_F2
287	chr19:8922010-8922050	+	B3gat3	ENSMUSG00000071649	NA	protein_coding: Intron	ENSMUST00000096243	-527	chr19:8921410-8921483	SINE	ID2
288	chr19:8971261-8971318	+	Eef1g	ENSMUSG00000071644	NA	protein_coding: Intron	ENSMUST00000052248	-64	chr19:8971060-8971197	SINE	B3A
289	chr2:104846796-104846851	-	Prrg4	ENSMUSG00000027171	NA	protein_coding: Intron	ENSMUST00000028593	418	chr2:104846296-104846378	SINE	ID4_
290	chr2:105010973-105011022	-	Eif3m	ENSMUSG00000027170	NA	protein_coding: Intron	ENSMUST00000028592	261	chr2:105010234-105010712	LINE	L2
291	chr2:109262091-109262133	-	Mettl15	ENSMUSG00000057234	NA	protein_coding: Intron	ENSMUST00000081631	-692	chr2:109262783-109262965	LINE	L1MC1
292	chr2:109932727-109932765	+	Lgr4	ENSMUSG00000050199	NA	protein_coding: Intron	ENSMUST00000046548	-928	chr2:109931621-109931799	SINE	RSINE1
293	chr2:110945933-110945986	-	Ano3	ENSMUSG00000074968	NA	protein_coding: Intron	ENSMUST00000099623	2215	chr2:110943635-110943718	LINE	Lx8
294	chr2:11597633-11597683	-	Rbm17	ENSMUSG00000037197	NA	protein_coding: Intron	ENSMUST00000040314	-690	chr2:11598323-11598520	SINE	ID_B1
295	chr2:121450186-121450235	+	Serf2	ENSMUSG00000074884	NA	protein_coding: Intron	NA	NA	NA	NA	NA
296	chr2:122005190-122005254	+	Ctdspl2	ENSMUSG00000033411	SINE	Repeat Element	ENSMUST00000110578	0	chr2:121958715-121958905	SINE	B2_Mm1t
297	chr2:127816715-127816748	-	Bub1	ENSMUSG00000027379	NA	protein_coding: Intron	ENSMUST00000028858	-998	chr2:127817713-127817946	SINE	B4A
298	chr2:129112779-129112816	+	Polr1b	ENSMUSG00000027395	NA	protein_coding: Intron	ENSMUST00000103205	1851	chr2:129114630-129114777	SINE	ID_B1
299	chr2:131240155-131240206	+	Mavs	ENSMUSG00000037523	NA	protein_coding: Intron	ENSMUST00000041362	-76	chr2:131240015-131240079	SINE	MIR
300	chr2:131293133-131293179	+	Pank2	ENSMUSG00000037514	NA	protein_coding: Intron	ENSMUST00000150843	-2457	chr2:131290310-131290676	LINE	L1Md_F3
301	chr2:138262618-138262678	+	Btbd3	ENSMUSG00000062098	NA	protein_coding: Intron	ENSMUST00000091556	339	chr2:138262957-138263338	LINE	L2a
302	chr2:152274299-152274327	+	Csnk2a1	ENSMUSG00000074698	NA	protein_coding: Intron	ENSMUST00000099224	-687	chr2:152273526-152273612	SINE	B3A
303	chr2:152698908-152698972	+	H13	ENSMUSG00000019188	NA	protein_coding: Intron	ENSMUST00000089059	-1349	chr2:152697411-152697559	SINE	B1_Mus1
304	chr2:153384839-153384874	+	Asxl1	ENSMUSG00000042548	NA	protein_coding: Intron	ENSMUST00000109790	948	chr2:153385787-153386001	SINE	B3
305	chr2:156155680-156155720	-	Rbm39	ENSMUSG00000027620	NA	protein_coding: Intron	ENSMUST00000029149	-598	chr2:156156278-156156348	SINE	B3A
306	chr2:157103297-157103342	-	Samhd1	ENSMUSG00000027639	SINE	Repeat Element	ENSMUST00000088523	17	chr2:157103223-157103280	SINE	PB1D10
307	chr2:164435907-164435953	-	Sdc4	ENSMUSG00000017009	NA	protein_coding: Intron	ENSMUST00000017153	667	chr2:164435145-164435240	SINE	MIR
308	chr2:166670291-166670337	-	Prex1	ENSMUSG00000039621	LTR	Repeat Element	ENSMUST00000036719	89	chr2:166669929-166670202	SINE	B4A
309	chr2:167610116-167610168	-	Gm20431,Ube2v1	ENSMUSG00000078923,ENSMUSG00000089739	SINE	Repeat Element	ENSMUST00000109207	0	chr2:167610064-167610192	SINE	B1_Mus2
310	chr2:174421327-174421373	+	Nelfcd	ENSMUSG00000016253	NA	protein_coding: Intron	ENSMUST00000109075	-1376	chr2:174419874-174419951	SINE	MIRc
311	chr2:179502451-179502521	+	Cdh4	ENSMUSG00000000305	NA	protein_coding: Intron	ENSMUST00000000314	-745	chr2:179501621-179501706	SINE	ID_B1
312	chr2:179962761-179962804	-	Taf4	ENSMUSG00000039117	SINE	Repeat Element	ENSMUST00000041618	0	chr2:179918255-179918267	SINE	B4A
313	chr2:180190805-180190843	-	Lama5	ENSMUSG00000015647	NA	protein_coding: Intron	ENSMUST00000015791	-1153	chr2:180191958-180192063	SINE	MIR
314	chr2:180709131-180709164	-	Dido1	ENSMUSG00000038914	NA	protein_coding: Intron	ENSMUST00000103057	681	chr2:180708408-180708450	SINE	PB1D9
315	chr2:180914077-180914114	-	Ythdf1	ENSMUSG00000038848	NA	protein_coding: Intron	ENSMUST00000037299	-3571	chr2:180917648-180917755	SINE	PB1D10
316	chr2:23012763-23012822	-	Abi1	ENSMUSG00000058835	LTR	Repeat Element	ENSMUST00000126112	4892	chr2:23007687-23007871	SINE	B3
317	chr2:29140148-29140195	+	Setx	ENSMUSG00000043535	NA	protein_coding: Intron	ENSMUST00000061578	320	chr2:29140468-29140609	SINE	B1_Mur3
318	chr2:31488961-31489027	+	Ass1	ENSMUSG00000076441	NA	protein_coding: Intron	ENSMUST00000102840	1294	chr2:31490255-31490350	SINE	PB1D7
319	chr2:31591533-31591570	+	Fubp3	ENSMUSG00000026843	NA	protein_coding: Intron	ENSMUST00000113482	-1609	chr2:31589807-31589924	SINE	B1_Mus2
320	chr2:31760316-31760378	+	Abl1	ENSMUSG00000026842	NA	protein_coding: Intron	ENSMUST00000075759	-1119	chr2:31759049-31759197	SINE	MIRb
321	chr2:3509683-3509726	-	Gm45902,Hspa14	ENSMUSG00000051396,ENSMUSG00000109865	NA	protein_coding: Intron	ENSMUST00000027961	-138	chr2:3509821-3509969	SINE	B1_Mus2
322	chr2:37506998-37507034	+	Rabgap1	ENSMUSG00000035437	SINE	Repeat Element	ENSMUST00000061179	0	chr2:37444656-37444794	SINE	B1_Mus2
323	chr2:39030781-39030837	-	Golga1	ENSMUSG00000026754	SINE	Repeat Element	ENSMUST00000039165	0	chr2:39059396-39059462	SINE	ID4
324	chr2:61737968-61738006	+	Psmd14	ENSMUSG00000026914	NA	protein_coding: Intron	ENSMUST00000028278	-86	chr2:61737815-61737882	SINE	B1_Mur3
325	chr2:65018616-65018653	-	Grb14	ENSMUSG00000026888	LTR	Repeat Element	ENSMUST00000028252	-1866	chr2:65020482-65020647	SINE	RSINE1
326	chr2:71820222-71820258	+	Itga6	ENSMUSG00000027111	NA	protein_coding: Intron	ENSMUST00000112101	842	chr2:71821064-71821171	SINE	B3A
327	chr2:83648417-83648458	+	Zc3h15	ENSMUSG00000027091	NA	protein_coding: Intron	ENSMUST00000081591	-21	chr2:83648205-83648396	SINE	ID_B1
328	chr2:90511731-90511788	-	Ptprj	ENSMUSG00000025314	NA	protein_coding: Intron	ENSMUST00000168621	896	chr2:90510787-90510835	SINE	MIRb
329	chr2:94330023-94330070	-	Ttc17	ENSMUSG00000027194	NA	protein_coding: Intron	ENSMUST00000111238	1220	chr2:94328528-94328803	LINE	L3
330	chr2:9949301-9949350	-	Taf3	ENSMUSG00000025782	NA	protein_coding: Intron	ENSMUST00000026888	626	chr2:9948517-9948675	SINE	RSINE1
331	chr3:104488002-104488041	-	Lrig2	ENSMUSG00000032913	SINE	Repeat Element	ENSMUST00000046316	0	chr3:104458054-104458261	SINE	B3
332	chr3:108078674-108078713	-	Ampd2	ENSMUSG00000027889	NA	protein_coding: Intron	ENSMUST00000102637	-4964	chr3:108083638-108083725	SINE	ID4
333	chr3:108908502-108908543	-	Prpf38b	ENSMUSG00000027881	NA	protein_coding: Intron	ENSMUST00000029480	-242	chr3:108908744-108908811	SINE	B1_Mur1
334	chr3:115958290-115958343	-	Slc30a7	ENSMUSG00000054414	NA	protein_coding: Intron	ENSMUST00000067485	3308	chr3:115954916-115954982	SINE	ID4_
335	chr3:133475793-133475842	-	Tet2	ENSMUSG00000040943	NA	protein_coding: Intron	ENSMUST00000196398	-85	chr3:133475878-133475930	SINE	PB1D7
336	chr3:133531722-133531782	-	Tet2	ENSMUSG00000040943	NA	protein_coding: Intron	ENSMUST00000196398	292	chr3:133531341-133531430	SINE	B1F
